Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.LO.ZS]","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative) [SE.PRM.CUAT.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS],Urban population [SP.URB.TOTL],Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
2019,YR2019,Cuba,CUB,99.8000030517578,103428000000,9139.41585605765,..,..,..,77.109,-0.00856006868288057,24.5057523373311,18.8961408085769,8726192,109.024055876686,-0.101983052203958,25909.9998474121,2.28953729585692
2019,YR2019,Curacao,CUW,100,2995185474.86034,19024.1771511889,..,..,..,89.098,-1.24896688314182,..,..,140277,354.596846846847,-1.19643951751799,..,..
2019,YR2019,Cyprus,CYP,100,25944504645.6957,29417.138671875,..,..,..,66.805,0.810045861005487,..,..,820924,132.990909090909,0.817517719721429,7190.00005722046,5.85106560779507
2019,YR2019,Czechia,CZE,100,252548179964.897,23664.8478631108,20.9109001159668,99.8096313476563,99.8614807128906,73.921,0.568457638590162,16.4639962741893,12.1703506508231,7888753,138.226810266108,0.393788864202175,96290.0009155273,9.02278615795801
2019,YR2019,Denmark,DNK,100,346498737961.635,59592.9806886454,..,..,..,87.994,0.494581334948344,26.0711265978701,22.9410249204478,5116342,145.36055,0.358130915892652,29700.0007629395,5.10798850907958
2019,YR2019,Djibouti,DJI,61.2119293212891,3088853638.56832,2876.04366371536,..,..,..,77.915,1.753448510633,67.9735469083487,..,836802,46.3327868852459,1.57623975223144,419.999986886978,0.391063625017438
2019,YR2019,Dominica,DMA,100,611537037.037037,8561.58701121461,..,..,..,70.786,1.27988689680026,..,..,50561,95.2373333333333,0.850614263332306,170.000001788139,2.38001906518647
2019,YR2019,Dominican Republic,DOM,99,88941299733.5018,8173.33800656006,..,..,..,81.828,2.00068230103502,36.4427869915478,29.8204023899542,8904426,225.251128130822,1.07497482890671,27229.9995422363,2.50232446393338
2019,YR2019,Ecuador,ECU,99.0899963378906,108108009000,6233.25816692363,..,..,..,63.986,2.16788118361711,26.5477877354176,27.6405550359957,11097565,69.8330649057819,1.90968326333656,39290.0009155273,2.26537072831623
2019,YR2019,"Egypt, Arab Rep.",EGY,100,303080865603.645,2869.57658843903,..,..,..,42.73,1.85486820738962,45.3901519000592,24.3019674049866,45130858,106.101432517957,1.79400212546566,249369.995117188,2.36104083450537
2019,YR2019,El Salvador,SLV,97.3600006103516,26881140000,4280.28840404719,8.33701992034912,46.5443992614746,61.5461807250977,72.746,1.0605646741483,24.201293742272,17.6054744605163,4568607,303.099276061776,0.0617207329334854,7800.00019073486,1.2419953308516
2019,YR2019,Equatorial Guinea,GNQ,66.6000442504883,11364133801.8914,7317.39018853546,..,..,..,72.627,4.00365647007894,35.0559436839492,..,1127920,55.3665240641711,3.33503679402461,5349.99990463257,3.44487644137984
2019,YR2019,Eritrea,ERI,50.9369926452637,..,..,..,..,..,40.712,3.10382465039888,65.2016688675331,..,1424439,28.8966156462492,1.53927354632927,879.999995231628,0.251513509771479
2019,YR2019,Estonia,EST,100,31081901909.2156,23424.4847073518,..,..,..,69.051,0.619441069729559,48.1667387005095,..,916236,31.0385497076023,0.371554389037477,10180.0003051758,7.67202927819305
2019,YR2019,Eswatini,SWZ,76.8694381713867,4495264160.86577,3843.3773913814,..,..,..,23.981,1.55036294653323,..,..,280485,68.0007558139535,0.788402227821078,959.999978542328,0.820784292361942
2019,YR2019,Ethiopia,ETH,48.063591003418,95912590628.1412,840.449451464836,..,..,..,21.225,4.85672830311995,18.9578267710606,4.02379871944936,24222096,101.119564793866,2.656010133459,18360.0006103516,0.160882448704671
2019,YR2019,Faroe Islands,FRO,100,3275706960.14634,63383.196148417,..,..,..,42.225,1.79401889421017,..,..,21822,37.0207736389685,1.41473188516849,..,..
2019,YR2019,Fiji,FJI,99.7158813476563,5481675173.38011,5968.30055949885,..,..,..,56.75,0.830716449747723,..,..,521229,50.2717569786535,-0.0577971466911964,1629.99999523163,1.7747001739115
2019,YR2019,Finland,FIN,100,268514916972.549,48629.8582283032,25.9350891113281,..,..,85.446,0.185101615266816,27.3894545368993,23.4031910281175,4717991,18.1673609054717,0.110191690491055,40709.9990844727,7.37285476082008
2019,YR2019,France,FRA,100,2728870246705.88,40494.8982936276,19.7005405426025,85.5956573486328,97.6722869873047,80.709,0.670255810752097,20.1481031301984,22.741165745516,54388182,123.070294051578,0.341374143157509,300519.989013672,4.45954746474334
2019,YR2019,French Polynesia,PYF,100,6001384759.57628,20023.5047046924,..,..,..,61.897,0.808581601812801,..,..,185516,86.348890809565,0.706823205794027,..,..
2019,YR2019,Gabon,GAB,90.7262954711914,16874405460.1955,7523.8622784598,..,..,..,89.741,2.70414611374572,40.9336124942739,..,2012698,8.70409826522296,2.28985536531904,5250,2.34083962573318
2019,YR2019,"Gambia, The",GMB,62.0999984741211,1813608279.65044,722.874793145171,..,..,..,61.931,3.65572123165183,28.5387340260115,..,1553776,247.913339920949,2.58268676641821,579.999983310699,0.231178569630668
2019,YR2019,Georgia,GEO,100,17470436258.5131,4696.15058555612,33.6676902770996,97.6632919311523,99.186897277832,59.039,0.520212544414782,49.051743213501,28.9596606168389,2196346,65.0855698239966,-0.171565740223868,10109.9996566772,2.71762422558518
2019,YR2019,Germany,DEU,100,3888226035921.56,46793.6867616004,..,..,..,77.376,0.30826693577482,5.5320736721819,9.60016324848307,64294010,237.822954291766,0.22551987421288,657400.024414063,7.91162101567715
2019,YR2019,Ghana,GHA,83.5,68337537815.7703,2167.91158941087,..,..,..,56.707,3.23644464618774,17.9330021322665,18.0215142998811,17875345,138.535158653424,2.08893118401294,20040.0009155273,0.635740643066456
2019,YR2019,Gibraltar,GIB,100,..,..,..,..,..,100,0.113265896118834,..,..,32685,3268.5,0.113265896118834,..,..
2019,YR2019,Greece,GRC,100,205257014892.502,19144.284387556,..,..,..,79.388,0.311210821229905,37.0568808632874,29.4187182451246,8511650,83.1775174553918,-0.105339392724138,60000,5.59618906985928
2019,YR2019,Greenland,GRL,100,2994332323.74726,53256.2440862119,10.4404096603394,100,100,87.052,0.631266058920437,..,..,48945,0.136983798270191,0.359917714454119,..,..
2019,YR2019,Grenada,GRD,93.120964050293,1213485185.18519,9887.92074235834,..,..,..,36.396,1.06685684406121,..,..,44667,360.952941176471,0.724563813014991,330.000013113022,2.68896070135444
2019,YR2019,Guam,GUM,100,6366000000,37752.633077142,..,..,..,94.859,0.0512775628129774,..,..,159955,312.266666666667,-0.0320187846270383,..,..
2019,YR2019,Guatemala,GTM,95.7420043945313,77170421167.5134,4647.69334663252,4.32202005386353,32.2936897277832,50.8050003051758,51.439,2.3116594096001,33.8514063724799,17.4128250582118,8540945,154.946117954461,1.56038604781094,19309.9994659424,1.16297092439764
2019,YR2019,Guinea,GIN,42.2000007629395,13442861443.7506,1043.8998820932,..,..,..,36.5,3.52884694344595,40.1938641389426,14.6707612378421,4700302,52.4073701774377,2.5376470778001,3950.00004768372,0.306735630750854
2019,YR2019,Guinea-Bissau,GNB,30.9615573883057,1439638443.38133,730.611448705215,..,..,..,43.777,3.29347428824414,67.1022841224335,..,862607,70.0731507823613,2.33629046990663,330.000013113022,0.167473846479787
2019,YR2019,Guyana,GUY,91.9157562255859,5173760191.84652,6477.29672607993,..,..,..,26.689,1.98266449596713,..,..,213179,4.05767335534671,1.67134809737405,2849.99990463257,3.56806159680473
2019,YR2019,Haiti,HTI,45.990234375,14785839382.9002,1324.84400548618,..,..,..,56.192,2.97507466071833,43.1202245540897,24.2301153413513,6271273,404.950580551524,1.33513859245585,3319.9999332428,0.297479358179563
2019,YR2019,Honduras,HND,91.0999984741211,25089976946.7736,2519.37019370185,9.63498973846436,40.2659187316895,67.8238983154297,57.73,2.78498123315846,24.4060771943105,14.0896284091232,5749232,89.0055322191438,1.68069668453135,10220.0002670288,1.02622509805408
2019,YR2019,"Hong Kong SAR, China",HKG,100,363052489184.395,48356.0635043614,..,79.8697662353516,95.7155609130859,100,0.739283471323064,99.7719202440096,99.7719202440096,7507900,7150.38095238095,0.739283471323064,..,..
2019,YR2019,Hungary,HUN,100,163988594921.902,16782.9524639857,..,..,..,71.644,0.364540979606319,25.1971877180221,18.0522725032829,7000436,107.069263642341,-0.0452557101106228,46380.0010681152,4.74663102989868
2019,YR2019,Iceland,ISL,100,24826102119.6357,68853.71521658,36.142879486084,99.2928466796875,..,93.855,2.24361872841293,..,..,338406,3.5759496181692,2.19893225826166,1639.99998569489,4.54844225751086
2019,YR2019,India,IND,97.3082656860352,2831552222519.99,2047.23270433512,..,..,..,34.472,2.31580198477658,6.16610328299097,15.4853278156314,476786386,465.194639427685,1.02531077187097,2456300.04882813,1.77592267295201
2019,YR2019,Indonesia,IDN,98.8499984741211,1119099868265.25,4151.22754296453,..,..,..,55.985,2.12358021200536,7.04894506759983,13.5515891331941,150925974,143.584633764026,0.937689273635294,619840.026855469,2.2992559151159
2019,YR2019,"Iran, Islamic Rep.",IRN,100,283746685180.338,3277.875595507,..,..,..,75.391,1.7556649983965,13.8115837091259,24.8954111539086,65261618,53.3523587057011,1.0995932626289,630010.009765625,7.27795087587852
2019,YR2019,Iraq,IRQ,99.9920043945313,233636097800.338,5621.18169491752,..,..,..,70.678,2.65885876706813,23.7417486532069,23.7640628127743,29376265,95.7402425091217,2.36838831392184,174559.997558594,4.19983672120634
2019,YR2019,Ireland,IRL,100,399321701632.431,80927.0746710666,..,..,..,63.405,1.73892417508637,38.8243627058337,24.6165849941431,3128618,71.6263608651473,1.36762695363797,35750,7.24514322077522
2019,YR2019,Isle of Man,IMN,100,7315388052.08067,87157.4714603395,..,..,..,52.735,0.466496917003987,..,..,44262,147.250877192982,0.188422790499936,..,..
2019,YR2019,Israel,ISR,100,402470513619.148,44452.2325623093,..,..,..,92.501,1.99875843898331,48.9187217113325,57.85075104926,8375041,418.391866913124,1.90898263957994,62650.0015258789,6.91959371834315
2019,YR2019,Italy,ITA,100,2011302198827.45,33673.7509627421,..,..,..,70.736,-0.730852392108029,10.0213555216605,19.0043389416958,42249963,201.980545589195,-1.15302842389952,317239.990234375,5.31131544170879
2019,YR2019,Jamaica,JAM,99.3676223754883,15830768549.8916,5626.17117652759,..,..,..,55.985,0.625966781060589,37.4438119687093,..,1575291,259.812834718375,0.0688992221522009,8390.00034332275,2.98176162161011
2019,YR2019,Japan,JPN,100,5123318151510.62,40458.0018755824,..,..,..,91.698,-0.0510014914514158,32.2383863345144,64.5301888133425,116119928,347.415637860082,-0.140464977878172,1081569.94628906,8.54098020491546
